05,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
05,0,0,3,0,0,0,0,0,2,0,2,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
05,2,1,0,0,0,4,0,0,0,0,0,0,9,0,2,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
06,0,0,0,0,0,2,1,0,2,0,0,0,9,0,0,0,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
05,0,2,1,0,2,0,0,0,2,2,0,0,9,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
07,1,0,0,1,0,0,0,0,0,2,0,2,9,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
07,0,0,0,1,0,0,0,0,0,2,2,4,0,9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
07,0,0,0,0,0,0,3,0,0,0,4,0,9,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,1,0,3,0,0,0,0,0
08,0,0,1,0,4,0,0,0,0,0,0,2,9,0,2,0,0,0,0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,1,0,0
07,0,3,0,0,0,0,0,0,2,1,0,4,9,0,0,4,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0
09,1,0,0,0,2,0,0,0,4,0,0,0,9,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0
07,0,0,3,0,0,0,0,0,0,4,1,0,2,9,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
07,1,0,0,1,0,0,0,0,0,2,0,2,0,9,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0
06,0,2,2,0,1,0,2,0,0,0,0,0,0,0,9,0,2,0,0,0,0,4,0,0,1,0,0,0,1,0,0,1,0,0,0,0
07,0,0,0,0,1,0,0,0,0,1,0,4,3,0,0,9,0,0,0,1,0,0,0,0,0,2,0,3,0,0,0,0,1,0,1,0
06,0,0,0,0,4,0,3,0,0,0,0,0,0,0,9,0,0,0,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0
